time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:56:03    47.8224;  9.99658;  283.147;
12:56:07    47.8248;  10.0098;  283.16;
12:56:10    47.8222;  9.99553;  283.146;
12:56:14    47.8202;  9.98435;  283.134;
12:56:17    47.82;  9.98315;  283.133;
12:56:20    47.8201;  9.98388;  283.134;
12:56:24    47.8194;  9.98011;  283.13;
12:56:27    47.8205;  9.9859;  283.136;
12:56:31    47.8216;  9.9922;  283.142;
12:56:34    47.8182;  9.97342;  283.123;
12:56:37    47.8196;  9.98107;  283.131;
12:56:41    47.8188;  9.97679;  283.127;
12:56:44    47.8183;  9.97375;  283.124;
12:56:48    47.819;  9.97794;  283.128;
12:56:51    47.8189;  9.97727;  283.127;
12:56:55    47.8199;  9.98269;  283.133;
12:56:58    47.8196;  9.98105;  283.131;
12:57:01    47.82;  9.98298;  283.133;
12:57:05    47.818;  9.97249;  283.122;
12:57:08    47.8187;  9.976;  283.126;
12:57:12    47.8188;  9.97667;  283.127;
12:57:15    47.8201;  9.98351;  283.134;
12:57:18    47.8196;  9.98099;  283.131;
12:57:22    47.8188;  9.97676;  283.127;
12:57:25    47.8213;  9.9905;  283.141;
12:57:29    47.8206;  9.98668;  283.137;
12:57:32    47.8185;  9.9752;  283.125;
12:57:36    47.8185;  9.975;  283.125;
12:57:39    47.8196;  9.98079;  283.131;
12:57:42    47.8218;  9.99321;  283.143;
12:57:46    47.8175;  9.96951;  283.12;
12:57:49    47.8212;  9.98963;  283.14;
12:57:53    47.8198;  9.98204;  283.132;
12:57:56    47.8201;  9.98387;  283.134;
12:57:59    47.8186;  9.9754;  283.125;
12:58:03    47.8206;  9.98674;  283.137;
12:58:06    47.8202;  9.98409;  283.134;
12:58:10    47.8194;  9.97982;  283.13;
12:58:13    47.8171;  9.96707;  283.117;
12:58:17    47.82;  9.98316;  283.133;
12:58:20    47.8184;  9.97443;  283.124;
12:58:23    47.8193;  9.97944;  283.129;
12:58:27    47.8199;  9.98252;  283.133;
12:58:30    47.8194;  9.98001;  283.13;
12:58:34    47.8196;  9.98107;  283.131;
12:58:37    47.818;  9.9724;  283.122;
12:58:40    47.8179;  9.97155;  283.122;
